,Mkt-RF,SMB,HML,RF
19730115,-0.84,-0.33,0.28,0.021
19730116,-0.36,-0.25,0,0.021
19730117,0.37,-0.22,0.13,0.021
19730118,0.13,-0.21,-0.08,0.021
19730119,-0.19,-0.2,-0.47,0.021
19730122,-0.53,-0.1,0.09,0.021
19730123,-0.16,-0.35,-0.05,0.021
19730124,-1.39,-0.24,0.11,0.021
19730126,-0.37,-0.52,0.26,0.021
19730129,-0.51,-0.19,0.21,0.021
19730130,-0.17,-0.35,0.26,0.021
19730131,0.12,-0.3,0.46,0.021
19730201,-1.16,-0.16,0.18,0.022
19730202,-0.41,-0.04,-0.11,0.022
19730205,-0.19,-0.25,-0.12,0.022
19730206,0.19,-0.32,-0.16,0.022
19730207,-0.77,0.09,-0.14,0.022
19730208,-0.44,0.01,-0.45,0.022
19730209,1.34,-0.18,-0.41,0.022
19730212,1.07,-0.12,-0.24,0.022
19730213,0.51,-0.31,-0.04,0.022
19730214,-1.41,0.1,0.44,0.022
19730215,-0.69,-0.1,0.15,0.022
19730216,0.36,-0.41,0.14,0.022
19730220,0.25,-0.47,0.38,0.022
19730221,-0.74,-0.39,0.54,0.022
19730222,-0.3,-0.37,0.22,0.022
19730223,-1.08,-0.19,0.54,0.022
19730226,-0.88,-0.5,0.54,0.022
19730227,-1.15,-0.18,0.64,0.022
19730228,0.62,-0.36,-0.36,0.022
19730301,-0.7,0.03,0.47,0.021
19730302,0.86,-0.82,-0.15,0.021
19730305,0.37,0.06,-0.46,0.021
19730306,1.26,-0.21,-0.21,0.021
19730307,0.37,0.3,-0.42,0.021
19730308,-0.21,0.1,0.21,0.021
19730309,-0.36,0.17,0.08,0.021
19730312,-0.03,-0.16,0.12,0.021
19730313,0.42,-0.54,0.19,0.021
19730314,0.26,-0.55,0.19,0.021
19730315,-0.71,-0.11,0.37,0.021
19730316,-0.52,0.07,0.11,0.021
19730319,-1.23,-0.06,0.43,0.021
19730320,-0.33,-0.4,0.31,0.021
19730321,-1.29,0.01,1.04,0.021
19730322,-1.68,-0.35,0.76,0.021
19730323,0,-0.26,0.16,0.021
19730326,0.75,-0.27,-0.18,0.021
19730327,1.43,-0.22,-0.51,0.021
19730328,0.03,0.07,-0.06,0.021
19730329,0.98,-0.3,0.07,0.021
19730330,-0.92,0.61,0.03,0.021
19730402,-1.2,0.02,0.64,0.026
19730403,-1,-0.06,0.36,0.026
19730404,-0.63,-0.02,0.34,0.026
19730405,-0.47,-0.42,0.24,0.026
19730406,0.7,-0.37,-0.26,0.026
19730409,1.26,-0.81,0.05,0.026
19730410,1.11,-0.6,-0.02,0.026
19730411,0.39,-0.35,0.32,0.026
19730412,-0.09,0.07,0.34,0.026
19730413,-0.42,0.23,0.28,0.026
19730416,-0.56,0.16,0.19,0.026
19730417,-0.59,-0.25,0.75,0.026
