,Mkt-RF,SMB,HML,RF
19770301,0.85,-0.2,-0.21,0.016
19770302,-0.22,0.14,0.09,0.016
19770303,0.44,-0.26,0.05,0.016
19770304,0.35,0.15,-0.08,0.016
19770307,0.12,0.05,0,0.016
19770308,-0.34,0.26,0.05,0.016
19770309,-0.7,0.19,0.06,0.016
19770310,0.48,-0.02,-0.23,0.016
19770311,0.07,0.13,0.11,0.016
19770314,0.63,-0.45,0.13,0.016
19770315,0.44,-0.31,0.26,0.016
19770316,0.19,-0.04,0.07,0.016
19770317,-0.09,0.11,0.03,0.016
19770318,-0.22,0.37,-0.02,0.016
19770321,-0.45,0.23,-0.09,0.016
19770322,-0.22,0.15,0,0.016
19770323,-0.78,0.35,0.23,0.016
19770324,-0.46,0.14,0.06,0.016
19770325,-0.59,0.41,-0.03,0.016
19770328,-0.15,-0.37,0,0.016
19770329,0.55,-0.29,0.15,0.016
19770330,-1.1,0.21,0.4,0.016
19770331,-0.14,0.01,0.03,0.016
19770401,0.75,-0.32,0,0.019
19770404,-0.89,0.25,0.2,0.019
19770405,-0.28,-0.25,0.04,0.019
19770406,-0.07,0.12,0.04,0.019
19770407,0.32,-0.2,-0.12,0.019
19770411,0.49,-0.3,-0.01,0.019
19770412,1.2,-0.47,0.43,0.019
19770413,0.03,0.12,0.27,0.019
19770414,0.84,-0.07,0.13,0.019
19770415,0.03,0.12,0.1,0.019
19770418,-0.4,0.29,0.16,0.019
19770419,-0.33,0.36,0.03,0.019
19770420,0.34,0.1,0.34,0.019
19770421,-0.65,0.25,0.29,0.019
19770422,-1.2,0.31,0.51,0.019
19770425,-1.25,-0.02,0.39,0.019
19770426,-0.05,-0.22,0.21,0.019
19770427,0.85,-0.21,0.09,0.019
19770428,0.21,-0.15,0.13,0.019
19770429,0.25,0.14,0.1,0.019
19770502,0.53,-0.15,-0.12,0.018
19770503,0.47,-0.04,0.03,0.018
19770504,0.57,-0.15,0.12,0.018
19770505,0.27,0.11,-0.12,0.018
19770506,-0.41,0.38,0.19,0.018
19770509,-0.21,0.07,0.25,0.018
19770510,0.3,-0.03,-0.1,0.018
19770511,-0.55,0.41,0.11,0.018
19770512,-0.03,0,0.05,0.018
19770513,0.32,0.14,0.05,0.018
19770516,0.4,-0.05,0.05,0.018
19770517,0.25,-0.08,-0.06,0.018
19770518,0.48,0.02,-0.09,0.018
19770519,-0.32,0.31,0.12,0.018
19770520,-0.37,0.24,0.09,0.018
19770523,-1.13,0.13,0.23,0.018
19770524,-0.47,-0.1,-0.18,0.018
19770525,-0.82,0.11,0.26,0.018
19770526,0.16,-0.15,-0.17,0.018
19770527,-0.64,0.39,0.16,0.018
19770531,-0.24,-0.35,-0.03,0.018
19770601,0.74,-0.27,-0.16,0.018
19770602,-0.14,0.05,0.3,0.018
19770603,0.87,-0.17,-0.47,0.018
19770606,-0.39,0.33,0.07,0.018
19770607,0.44,-0.24,-0.01,0.018
19770608,0.51,-0.11,0.12,0.018
19770609,-0.03,0.38,-0.19,0.018
19770610,0.29,0.27,-0.07,0.018
19770613,0.32,-0.11,-0.2,0.018
19770614,0.99,-0.46,-0.21,0.018
19770615,-0.2,0.27,0.09,0.018
19770616,0.29,0.11,-0.26,0.018
19770617,0.15,0.27,-0.13,0.018
19770620,0.43,-0.12,-0.05,0.018
19770621,0.32,-0.2,0.14,0.018
19770622,-0.2,0.24,0.14,0.018
19770623,0.22,0.35,0.1,0.018
19770624,0.56,0.22,-0.08,0.018
19770627,-0.1,0.3,0,0.018
19770628,-0.72,0.4,0.15,0.018
19770629,-0.07,0.16,0.05,0.018
19770630,0.35,0.26,0.06,0.018
19770701,-0.26,0.51,0.19,0.022
19770705,0.01,0.2,-0.1,0.022
19770706,-0.45,0.33,0.08,0.022
19770707,0.31,0.01,-0.16,0.022
19770708,-0.01,0.42,0.24,0.022
19770711,-0.26,0.17,0.27,0.022
19770712,-0.1,0.1,0.09,0.022
19770713,0.16,0.07,-0.17,0.022
19770715,0.6,-0.01,-0.56,0.022
19770718,0.62,-0.18,-0.26,0.022
19770719,0.62,-0.08,-0.2,0.022
19770720,-0.03,-0.04,0.04,0.022
19770721,-0.11,0.18,0.02,0.022
19770722,0.07,0.23,0.09,0.022
19770725,-0.67,0.4,-0.1,0.022
19770726,-0.53,0.1,0.07,0.022
19770727,-1.6,0.05,0.14,0.022
19770728,-0.05,-0.18,-0.28,0.022
19770729,-0.02,-0.16,-0.04,0.022
19770801,0.35,-0.2,-0.04,0.019
19770802,-0.61,0.19,-0.04,0.019
19770803,-0.22,-0.18,-0.08,0.019
19770804,0.49,0.13,-0.38,0.019
19770805,0.01,0.32,-0.16,0.019
19770808,-0.59,0.12,0.13,0.019
19770809,0.07,0.02,-0.24,0.019
19770810,0.7,-0.2,-0.32,0.019
19770811,-0.54,0.67,-0.2,0.019
19770812,-0.31,0.16,-0.19,0.019
19770815,0.21,-0.27,-0.32,0.019
19770816,-0.36,0.31,-0.03,0.019
19770817,-0.05,0.11,-0.43,0.019
19770818,0.01,0.16,-0.19,0.019
19770819,-0.23,0.32,-0.47,0.019
19770822,0.27,-0.11,-0.43,0.019
19770823,-0.15,0.12,0.31,0.019
19770824,-0.38,0.19,0.35,0.019
19770825,-0.91,0.28,0.29,0.019
19770826,-0.09,-0.14,-0.14,0.019
19770829,0.8,-0.25,-0.38,0.019
19770830,-0.47,0.1,0.32,0.019
19770831,0.24,-0.28,-0.17,0.019
19770901,0.14,0.33,0.21,0.021
19770902,0.63,-0.04,-0.11,0.021
19770906,0.17,-0.17,-0.02,0.021
19770907,0.26,0.07,-0.17,0.021
19770908,-0.63,0.42,0.35,0.021
19770909,-0.85,0.41,0.12,0.021
19770912,-0.31,0.07,-0.17,0.021
19770913,0,-0.01,-0.23,0.021
19770914,0.36,-0.08,-0.19,0.021
19770915,0.31,-0.03,-0.02,0.021
19770916,-0.3,0.33,0.07,0.021
19770919,-0.59,0.1,0.29,0.021
19770920,0.01,-0.02,-0.14,0.021
19770921,-0.75,0.16,0.28,0.021
19770922,-0.06,-0.13,-0.02,0.021
19770923,-0.02,0.23,-0.06,0.021
19770926,0.25,-0.17,-0.31,0.021
19770927,-0.14,0.13,-0.11,0.021
19770928,0.04,0.02,-0.13,0.021
19770929,0.52,-0.19,0.09,0.021
19770930,0.69,-0.07,-0.02,0.021
19771003,0.28,0.02,0.12,0.023
19771004,-0.61,0.27,0.41,0.023
19771005,-0.36,0.18,-0.02,0.023
19771006,0.36,-0.08,0.12,0.023
19771007,-0.01,0.32,-0.08,0.023
19771010,-0.17,0.16,0.06,0.023
19771011,-0.77,0.34,0.29,0.023
19771012,-1.13,-0.21,0.13,0.023
19771013,-0.69,-0.21,-0.18,0.023
19771014,0.03,0.01,0.11,0.023
19771017,-0.11,-0.03,-0.14,0.023
19771018,-0.02,0.22,0.19,0.023
19771019,-1.05,0.32,0.49,0.023
19771020,0.19,-0.25,-0.06,0.023
19771021,-0.23,0.3,0.08,0.023
19771024,-0.79,0.09,0.25,0.023
19771025,-0.83,-0.35,0.06,0.023
19771026,0.98,-0.43,-0.25,0.023
19771027,0.36,0.09,-0.05,0.023
19771028,0.33,0.19,-0.06,0.023
19771031,-0.19,0.27,0.19,0.023
19771101,-0.98,0.18,0.43,0.024
19771102,-0.6,0.29,0,0.024
19771103,0.14,-0.03,-0.11,0.024
19771104,0.94,0.1,-0.07,0.024
19771107,0.81,0,-0.17,0.024
19771108,0.19,0.16,0.17,0.024
19771109,0.5,0.17,-0.13,0.024
19771110,1.91,-0.33,-0.58,0.024
19771111,1.28,-0.34,-0.13,0.024
19771114,-0.5,0.41,0.27,0.024
19771115,0.65,0.08,-0.25,0.024
19771116,-0.33,0.49,0.12,0.024
19771117,-0.21,0.66,0.28,0.024
19771118,0.25,0.32,-0.04,0.024
19771121,-0.08,0.2,-0.02,0.024
19771122,0.86,-0.19,-0.15,0.024
19771123,0.59,0.23,-0.07,0.024
19771125,0.32,0.26,-0.03,0.024
19771128,-0.54,0.35,0.24,0.024
19771129,-1.41,0.47,0.38,0.024
19771130,0.17,0,0.09,0.024
19771201,0.05,0.49,0.09,0.023
19771202,0.01,0.32,0.21,0.023
19771205,-0.36,0.3,0.04,0.023
19771206,-1.52,0.07,0.45,0.023
19771207,-0.14,-0.05,0.03,0.023
19771208,0.2,0.13,-0.25,0.023
19771209,0.69,-0.08,0.01,0.023
19771212,0.04,0,-0.05,0.023
19771213,-0.05,-0.05,-0.05,0.023
19771214,0.33,0.09,-0.29,0.023
19771215,-0.4,0.5,0.03,0.023
19771216,-0.11,0.16,0.15,0.023
19771219,-0.71,-0.12,0.36,0.023
19771220,-0.36,-0.32,0.01,0.023
19771221,0.58,-0.06,-0.44,0.023
19771222,0.66,-0.12,-0.25,0.023
19771223,0.88,-0.18,-0.21,0.023
19771227,-0.02,-0.24,0.24,0.023
19771228,0.02,0.06,0.08,0.023
19771229,0.31,0.05,-0.29,0.023
19771230,0.18,0.35,-0.14,0.023
19780103,-1.29,0.33,0.68,0.023
19780104,-0.41,-0.1,0.07,0.023
19780105,-0.73,0.3,0.62,0.023
19780106,-1.24,-0.16,0.54,0.023
19780109,-1.18,-0.27,0.28,0.023
19780110,-0.64,-0.11,0.12,0.023
19780111,-0.53,-0.01,0.3,0.023
19780112,0.19,0.24,0.03,0.023
19780113,-0.03,0.32,0.32,0.023
19780116,-0.35,-0.26,0.11,0.023
19780117,0.52,0.15,-0.23,0.023
19780118,0.68,-0.04,0.23,0.023
19780119,-0.34,0.68,0.08,0.023
19780120,-0.21,0.33,0.04,0.023
19780123,-0.66,0.28,0.13,0.023
19780124,0.02,0.1,0.07,0.023
19780125,0.17,0.1,0.31,0.023
19780126,-0.77,0.32,0.45,0.023
19780127,-0.02,0.03,0.01,0.023
19780130,0.75,-0.21,-0.33,0.023
19780131,-0.09,0.3,-0.38,0.023
19780201,0.78,0.18,-0.37,0.024
19780202,0.34,0.1,0.16,0.024
19780203,-0.3,0.72,0.02,0.024
19780206,0,0.11,0.02,0.024
19780207,0.75,-0.21,-0.23,0.024
19780208,0.52,-0.11,0.04,0.024
19780209,-0.36,0.5,0.24,0.024
19780210,-0.12,0.38,-0.06,0.024
19780213,-0.27,0.24,0.06,0.024
19780214,-0.78,0.32,0.2,0.024
19780215,-0.26,0.33,0.1,0.024
19780216,-0.78,0.34,0.08,0.024
19780217,-0.11,0.14,0.21,0.024
19780221,-0.39,0.16,0.06,0.024
19780222,0.06,0.09,-0.02,0.024
19780223,0.18,0.02,-0.03,0.024
19780224,0.84,-0.13,-0.19,0.024
19780227,-0.7,0.34,0.21,0.024
19780228,-0.79,0.08,0.3,0.024
19780301,0.1,-0.11,-0.02,0.024
19780302,0.21,0.1,0.19,0.024
19780303,0.13,0,0.24,0.024
19780306,-0.54,0.19,0.22,0.024
19780307,0.47,-0.08,-0.15,0.024
19780308,0.49,-0.05,-0.17,0.024
19780309,0.2,0.34,-0.03,0.024
19780310,1.04,-0.11,-0.35,0.024
19780313,0.1,0.04,0.05,0.024
19780314,0.4,-0.22,-0.04,0.024
19780315,-0.18,0.38,0.17,0.024
19780316,0.43,0.31,-0.07,0.024
19780317,0.73,0.04,-0.23,0.024
19780320,0.58,-0.14,-0.21,0.024
19780321,-0.97,0.52,0.51,0.024
19780322,-0.26,0.28,0.14,0.024
19780323,-0.05,0.45,0.09,0.024
19780327,-0.43,0.54,0.24,0.024
19780328,0.62,0.01,-0.05,0.024
19780329,0.2,0.38,0.1,0.024
19780330,-0.23,0.34,0.24,0.024
19780331,-0.23,0.12,0.26,0.024
19780403,-0.71,0.11,0.24,0.027
19780404,0.38,0.08,-0.1,0.027
19780405,0.81,0.09,-0.19,0.027
19780406,0.24,0.23,-0.08,0.027
19780407,0.47,0.26,-0.36,0.027
19780410,0.31,-0.11,-0.03,0.027
19780411,-0.21,0.19,0.05,0.027
19780412,-0.03,0.38,0.23,0.027
19780413,0.97,0.18,-0.51,0.027
19780414,1.86,-0.65,-0.61,0.027
19780417,1.39,-0.97,-0.79,0.027
19780418,-1.03,0.31,0.29,0.027
19780419,0.36,0.02,-0.08,0.027
19780420,0.72,0.06,-0.27,0.027
19780421,-0.1,0.46,0.06,0.027
19780424,1.24,-0.51,-0.39,0.027
19780425,0.77,-0.34,-0.58,0.027
19780426,0.17,0.03,-0.04,0.027
19780427,-0.86,0.61,0.21,0.027
19780428,0.87,-0.04,-0.36,0.027
19780501,0.84,-0.14,-0.31,0.023
19780502,-0.26,0.24,0.24,0.023
19780503,-0.73,0.75,0.36,0.023
19780504,-0.05,0.45,0.07,0.023
19780505,0.68,0.36,-0.23,0.023
19780508,-0.26,0.38,-0.02,0.023
19780509,-0.17,0.28,-0.08,0.023
19780510,0.09,0.42,-0.06,0.023
19780511,1.12,-0.1,-0.64,0.023
19780512,0.83,0.18,-0.48,0.023
19780515,0.59,-0.15,-0.31,0.023
19780516,0.67,0.03,-0.25,0.023
19780517,0.29,0.27,0.14,0.023
19780518,-0.75,0.61,0.45,0.023
19780519,-0.44,0.46,0.14,0.023
19780522,0.83,-0.32,-0.23,0.023
19780523,-0.85,0.17,0.38,0.023
19780524,-0.98,-0.09,0.4,0.023
19780525,-0.18,0.36,-0.03,0.023
19780526,-0.16,0.27,-0.12,0.023
19780530,0.23,-0.02,-0.04,0.023
19780531,0.4,-0.1,0.08,0.023
19780601,0.11,0.03,-0.09,0.024
19780602,0.74,-0.03,-0.26,0.024
19780605,1.6,-0.55,-0.61,0.024
19780606,0.43,0.02,0.12,0.024
19780607,-0.14,0.34,0.13,0.024
19780608,0.21,0.5,0.15,0.024
19780609,-0.14,0.69,-0.03,0.024
19780612,-0.28,0.29,0.11,0.024
19780613,0.08,0.16,-0.17,0.024
19780614,-0.06,0.53,0,0.024
19780615,-0.96,0.44,0.08,0.024
19780616,-0.85,0.24,0.24,0.024
19780619,-0.19,-0.42,0.03,0.024
19780620,-0.95,0.04,0.44,0.024
19780621,-0.65,-0.52,0.15,0.024
19780622,0.21,-0.08,0.13,0.024
19780623,-0.28,0.46,0.21,0.024
19780626,-1.27,-0.21,0.35,0.024
19780627,0.21,-0.61,-0.34,0.024
19780628,0.37,-0.06,-0.05,0.024
19780629,0.21,0.26,-0.02,0.024
19780630,-0.07,0.17,-0.03,0.024
19780703,-0.31,0.3,0.06,0.028
19780705,-0.87,-0.02,0.03,0.028
19780706,-0.03,-0.37,-0.17,0.028
19780707,0.57,-0.04,-0.06,0.028
19780710,0.34,-0.18,-0.22,0.028
19780711,0.6,-0.27,0.08,0.028
19780712,0.35,0.01,-0.02,0.028
19780713,0.02,0.18,0.15,0.028
19780714,1.23,-0.31,-0.55,0.028
19780717,0.23,0.19,-0.1,0.028
19780718,-0.78,0.45,0.32,0.028
19780719,1.1,-0.39,-0.1,0.028
19780720,0,0.62,-0.06,0.028
19780721,-0.32,0.2,0.25,0.028
19780724,-0.1,0.03,-0.11,0.028
19780725,0.68,-0.41,0.01,0.028
19780726,0.6,0.09,-0.36,0.028
19780727,0.52,0.24,0.08,0.028
19780728,0.46,0.07,0.03,0.028
19780731,0.71,-0.09,-0.24,0.028
19780801,0.12,-0.01,-0.01,0.024
19780802,2.13,-0.81,-0.63,0.024
19780803,0.43,-0.32,0.06,0.024
19780804,0.43,-0.16,0.12,0.024
19780807,-0.17,0.62,-0.12,0.024
19780808,0.48,0.13,-0.34,0.024
19780809,0.52,0.47,-0.21,0.024
19780810,-0.59,0.65,0.28,0.024
19780811,0.32,0.26,0.17,0.024
19780814,0.09,0.32,0.16,0.024
19780815,-0.14,0.09,0.16,0.024
19780816,0.72,0.2,-0.42,0.024
19780817,0.56,0.4,-0.24,0.024
19780818,-0.23,0.5,0.18,0.024
19780821,-0.8,0.07,0.34,0.024
19780822,0.29,0.05,-0.18,0.024
19780823,0.61,0.22,-0.35,0.024
19780824,0.27,0.53,0.17,0.024
19780825,0.05,0.51,-0.03,0.024
19780828,-0.72,0.39,0.21,0.024
19780829,-0.58,0.26,0.22,0.024
19780830,0.15,0.26,-0.16,0.024
19780831,-0.2,0.17,0,0.024
19780901,0.4,-0.2,0.06,0.031
19780905,0.53,-0.47,-0.15,0.031
19780906,0.84,0.03,-0.17,0.031
19780907,0.12,0.42,0.04,0.031
19780908,1.25,-0.2,-0.16,0.031
19780911,0.21,0.39,0.11,0.031
19780912,0.07,0.1,-0.01,0.031
19780913,-0.55,0.5,0.28,0.031
19780914,-1.06,0.26,0.41,0.031
19780915,-0.95,0.08,0.19,0.031
19780918,-1.07,-0.34,0.27,0.031
19780919,-0.75,-0.55,0.35,0.031
19780920,-0.94,-0.61,0.41,0.031
19780921,-0.04,-0.42,0.01,0.031
19780922,0.03,0.3,-0.05,0.031
19780925,-0.03,-0.04,0.11,0.031
19780926,0.69,0.02,-0.1,0.031
19780927,-0.87,0.28,0.26,0.031
19780928,0.21,-0.14,0.05,0.031
19780929,0.49,0.07,-0.03,0.031
19781002,0.32,-0.09,-0.05,0.031
19781003,-0.31,0.02,0.14,0.031
19781004,0.38,-0.48,0.05,0.031
19781005,0.22,0.19,0.09,0.031
19781006,0.23,0.17,-0.06,0.031
19781009,0.92,-0.36,-0.18,0.031
19781010,-0.14,0.25,0.04,0.031
19781011,0.86,-0.7,-0.33,0.031
19781012,-0.47,0.67,0.06,0.031
19781013,-0.29,0.21,0.1,0.031
19781016,-1.82,0.14,0.37,0.031
19781017,-1.71,-1.31,0.11,0.031
19781018,-0.99,-0.85,0.09,0.031
19781019,-1.32,-0.4,0.38,0.031
19781020,-1.79,-1.98,0.08,0.031
19781023,-0.25,-1.45,-0.17,0.031
19781024,-0.58,0.38,0.35,0.031
19781025,-0.22,0.22,0.01,0.031
19781026,-1.73,-1.76,0.64,0.031
19781027,-1.97,-1.6,-0.03,0.031
19781030,0,-3.07,-0.77,0.031
19781031,-1.81,0.25,0.75,0.031
19781101,4.12,0.7,-1.67,0.033
19781102,-0.92,1.2,0.25,0.033
19781103,0.56,0.34,-0.11,0.033
19781106,-0.8,0.71,0.35,0.033
19781107,-1.58,-0.93,0.53,0.033
19781108,0.43,-0.39,-0.56,0.033
19781109,0.14,0.5,-0.01,0.033
19781110,0.49,0.4,0,0.033
19781113,-1.67,-0.09,0.43,0.033
19781114,-1.02,-1.35,0.18,0.033
19781115,0.29,0.25,-0.22,0.033
19781116,1.01,-0.42,-0.48,0.033
19781117,0.95,0.58,-0.34,0.033
19781120,0.91,0.18,-0.22,0.033
19781121,-0.13,0.41,-0.03,0.033
19781122,0.59,0.33,-0.17,0.033
19781124,0.47,0.32,-0.22,0.033
19781127,0.25,0,-0.18,0.033
19781128,-0.8,0.27,0.35,0.033
19781129,-1.39,0.13,0.43,0.033
19781130,0.9,-0.21,-0.41,0.033
19781201,1.57,0.13,-0.7,0.039
19781204,0.01,0.27,-0.06,0.039
19781205,1.24,-0.16,-0.35,0.039
19781206,0.17,0.26,0.17,0.039
19781207,-0.39,0.38,-0.04,0.039
19781208,-0.43,0.22,0.43,0.039
19781211,0.43,-0.16,-0.32,0.039
19781212,-0.52,0.21,0.3,0.039
19781213,-0.59,0.17,0.01,0.039
19781214,-0.03,-0.07,0.02,0.039
19781215,-0.74,0.06,0.15,0.039
19781218,-2.23,-0.8,0.6,0.039
19781219,0.72,-0.31,-0.69,0.039
19781220,0.41,0.22,-0.33,0.039
19781221,0.05,0.35,-0.2,0.039
19781222,1.66,-0.17,-0.63,0.039
19781226,0.98,-0.39,-0.81,0.039
19781227,-0.84,0.21,0.33,0.039
19781228,-0.4,0.08,-0.17,0.039
19781229,-0.13,0.7,0.11,0.039
19790102,0.58,-0.18,0.44,0.035
19790103,1.12,0.36,-0.06,0.035
19790104,0.94,0.43,0.01,0.035
19790105,0.65,0.62,-0.03,0.035
19790108,-0.28,0.04,0.09,0.035
19790109,0.51,0.33,0.01,0.035
19790110,-0.55,0.32,0.21,0.035
19790111,0.42,-0.04,-0.37,0.035
19790112,0.75,0.36,-0.22,0.035
19790115,0.65,-0.12,-0.1,0.035
19790116,-1.13,0.25,0.56,0.035
19790117,-0.08,-0.22,0.24,0.035
19790118,0.4,0.49,0.05,0.035
19790119,-0.02,0.39,0.23,0.035
19790122,0.05,-0.12,-0.13,0.035
19790123,0.63,-0.03,0.14,0.035
19790124,-0.36,0.06,0.28,0.035
19790125,0.93,-0.31,-0.01,0.035
19790126,0.64,-0.07,0.08,0.035
19790129,-0.24,0.13,0.2,0.035
19790130,-0.35,0.24,0.2,0.035
19790131,-1.13,0.41,0.23,0.035
19790201,0.04,-0.18,-0.03,0.038
19790202,-0.33,0.47,0.06,0.038
19790205,-1.31,-0.09,0.27,0.038
19790206,-0.04,-0.18,0.2,0.038
19790207,-0.95,-0.35,0.24,0.038
19790208,0.52,0.16,-0.1,0.038
19790209,0.25,0.32,0.05,0.038
19790212,0.25,-0.2,-0.26,0.038
19790213,0.74,0.16,-0.08,0.038
19790214,-0.14,0.04,0.23,0.038
19790215,-0.07,0.27,-0.11,0.038
19790216,0.03,0.32,0.1,0.038
19790220,0.58,-0.27,-0.19,0.038
19790221,-0.28,0.22,0.21,0.038
19790222,-0.57,0.28,0.12,0.038
19790223,-0.57,0.18,0.14,0.038
19790226,-0.14,0.06,-0.04,0.038
19790227,-1.7,-0.54,0.48,0.038
19790228,0.09,-0.23,-0.08,0.038
19790301,0.67,-0.04,0.02,0.037
19790302,0.12,0.34,0.01,0.037
19790305,1.1,-0.31,-0.07,0.037
19790306,-0.23,0.14,0.62,0.037
19790307,0.64,0.1,0.16,0.037
19790308,1.01,-0.06,-0.06,0.037
19790309,0.03,0.09,0.07,0.037
19790312,0.15,0.15,-0.16,0.037
19790313,0.23,0.25,-0.1,0.037
19790314,-0.07,0.22,-0.03,0.037
19790315,0.17,0.07,0.17,0.037
19790316,0.74,0.01,-0.31,0.037
19790319,0.35,-0.05,-0.07,0.037
19790320,-0.53,0.29,0.03,0.037
19790321,0.66,-0.1,-0.37,0.037
19790322,0.4,0.11,-0.19,0.037
19790323,-0.02,0.5,0.07,0.037
19790326,-0.5,0.18,0.21,0.037
19790327,1.3,-0.5,-0.46,0.037
19790328,-0.36,0.4,0.11,0.037
19790329,-0.03,0.52,-0.26,0.037
19790330,-0.31,0.67,-0.01,0.037
19790402,-0.68,0.24,0.14,0.04
19790403,1.34,-0.28,-0.15,0.04
19790404,0.3,0,0.1,0.04
19790405,0.55,-0.06,-0.15,0.04
19790406,-0.06,0.09,0.11,0.04
19790409,-0.3,0.16,0.07,0.04
19790410,0.45,-0.03,0.18,0.04
19790411,-0.9,0.39,0.41,0.04
19790412,-0.24,0.35,0.32,0.04
19790416,-0.87,0.02,0.12,0.04
19790417,-0.08,-0.11,0.04,0.04
19790418,0.49,0.3,-0.03,0.04
19790419,-0.38,0.35,-0.07,0.04
19790420,0.01,0.18,-0.14,0.04
19790423,0.3,0.01,-0.21,0.04
19790424,0.52,-0.01,-0.03,0.04
19790425,0.33,0.09,0.01,0.04
19790426,-0.47,0.35,0.27,0.04
19790427,-0.25,0.18,0.14,0.04
19790430,-0.07,-0.12,-0.03,0.04
19790501,-0.02,0.06,0.09,0.037
19790502,0.05,0.17,-0.07,0.037
19790503,0.02,0.12,-0.19,0.037
19790504,-0.97,0.21,0.24,0.037
19790507,-1.82,-0.81,0.32,0.037
19790508,-0.02,-0.73,-0.17,0.037
19790509,0.33,0.2,0.2,0.037
19790510,-0.89,0.12,0.2,0.037
19790511,0.12,0.02,0.02,0.037
19790514,-0.48,0.17,0.01,0.037
19790515,0.07,-0.06,0.22,0.037
19790516,0.22,-0.2,0.05,0.037
19790517,1.47,-0.45,0.07,0.037
19790518,0.08,0.38,-0.01,0.037
19790521,0.3,0.2,-0.17,0.037
19790522,0.46,0.02,-0.1,0.037
19790523,-0.39,0.49,0.05,0.037
19790524,0.13,0.17,0.04,0.037
19790525,0.29,0.25,0.04,0.037
19790529,-0.18,0.03,0.05,0.037
19790530,-0.94,-0.04,0.24,0.037
19790531,0.01,-0.09,0.12,0.037
19790601,0.1,0.16,-0.12,0.038
19790604,0.18,-0.05,0.32,0.038
19790605,1.18,-0.15,-0.38,0.038
19790606,0.66,-0.08,-0.25,0.038
19790607,0.57,-0.02,-0.04,0.038
19790608,-0.2,0.38,0.54,0.038
19790611,0.26,0.13,-0.01,0.038
19790612,0.9,-0.07,0.15,0.038
19790613,-0.35,0.54,0.57,0.038
19790614,-0.19,-0.08,0.08,0.038
19790615,0.05,0.09,-0.14,0.038
19790618,-0.57,0.14,0.21,0.038
19790619,0.02,-0.02,0.28,0.038
19790620,0.14,0.36,0.13,0.038
19790621,0.39,0.13,-0.19,0.038
19790622,0.44,-0.13,-0.07,0.038
19790625,-0.52,-0.15,0.14,0.038
19790626,-0.44,0.06,0.2,0.038
19790627,0.56,-0.1,-0.08,0.038
19790628,0.54,-0.04,0.05,0.038
19790629,0.02,-0.04,-0.03,0.038
19790702,-0.91,-0.06,0.48,0.036
19790703,0.14,0.03,0.29,0.036
19790705,0.37,0.2,0.11,0.036
19790706,1.04,-0.29,-0.22,0.036
19790709,0.78,-0.41,0.23,0.036
19790710,-0.31,0.17,0.09,0.036
19790711,-0.6,0.4,0.2,0.036
19790712,-0.76,0.49,0.34,0.036
19790713,-0.34,0.14,0.11,0.036
19790716,0.41,-0.14,-0.01,0.036
19790717,-0.97,-0.09,0.5,0.036
19790718,-0.29,-0.32,-0.12,0.036
19790719,-0.01,0.51,0.14,0.036
19790720,0.25,0.04,-0.19,0.036
19790723,-0.29,0.11,-0.02,0.036
19790724,0.31,-0.01,-0.03,0.036
19790725,1.05,-0.26,-0.19,0.036
19790726,0.11,0.32,0.06,0.036
19790727,0.12,0.39,0.07,0.036
19790730,0.13,0.13,-0.11,0.036
19790731,0.59,-0.1,0.02,0.036
19790801,0.35,0.25,-0.16,0.033
19790802,0.05,0.34,-0.26,0.033
19790803,-0.08,0.03,0.14,0.033
19790806,0.2,-0.16,-0.16,0.033
19790807,1.17,-0.36,-0.52,0.033
19790808,0.33,0.06,-0.09,0.033
19790809,-0.29,0.44,0.11,0.033
19790810,0.8,-0.09,-0.53,0.033
19790813,0.86,-0.13,-0.25,0.033
19790814,0.15,0.18,0.3,0.033
19790815,0.69,0.12,-0.16,0.033
19790816,-0.2,0.08,0,0.033
19790817,0.24,-0.07,0.14,0.033
19790820,0.48,-0.12,-0.05,0.033
19790821,0.02,0.12,0,0.033
19790822,0.15,0.22,-0.01,0.033
19790823,-0.28,0.38,0.16,0.033
19790824,0,-0.1,0.23,0.033
19790827,0.53,-0.29,0.1,0.033
19790828,-0.1,0.17,-0.05,0.033
19790829,0.01,0.28,-0.1,0.033
19790830,-0.02,0.29,-0.11,0.033
19790831,0.31,0.27,-0.19,0.033
19790904,-1.61,0.14,0.35,0.043
19790905,-1.25,-0.78,0.21,0.043
19790906,0.47,0.27,-0.1,0.043
19790907,0.76,-0.13,0.18,0.043
19790910,0.47,-0.08,0.05,0.043
19790911,-0.68,0.16,0.05,0.043
19790912,0.31,0.1,-0.19,0.043
19790913,0.03,0.44,-0.5,0.043
19790914,0.91,0.01,-0.35,0.043
19790917,-0.11,-0.07,-0.2,0.043
19790918,-0.76,0.01,0,0.043
19790919,0.21,-0.06,-0.05,0.043
19790920,1.67,-1.24,-0.31,0.043
19790921,-0.05,0.22,0.02,0.043
19790924,-0.79,0.29,-0.14,0.043
19790925,0.01,-0.26,-0.15,0.043
19790926,0.22,0.1,0.01,0.043
19790927,0.1,0.1,0.01,0.043
19790928,-0.69,0.51,0.2,0.043
19791001,-0.58,0.34,-0.19,0.038
19791002,0.78,-0.29,-0.11,0.038
19791003,0.13,0.34,-0.18,0.038
19791004,0.56,0.04,0.02,0.038
19791005,0.85,-0.08,-0.07,0.038
19791008,-1.24,-0.03,-0.04,0.038
